case_id,status,exception_code,severity,action,reason
FF-0001,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0002,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0003,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0004,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0005,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0006,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0007,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0008,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0009,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0010,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0011,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0012,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0013,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0014,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0015,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0016,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0017,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0018,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0019,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0020,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0021,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0022,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0023,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0024,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0025,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0026,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0027,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0028,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0029,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0030,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0031,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0032,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0033,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0034,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0035,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0036,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0037,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0038,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0039,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0040,PASS,NONE,LOW,AUTO_CLEAR,All reconciliation controls passed.
FF-0041,EXCEPTION,GATEWAY_AMOUNT_MISMATCH,HIGH,HUMAN_REVIEW,Gateway amount differs from the expected transaction amount.
FF-0042,EXCEPTION,GATEWAY_AMOUNT_MISMATCH,HIGH,HUMAN_REVIEW,Gateway amount differs from the expected transaction amount.
FF-0043,EXCEPTION,GATEWAY_AMOUNT_MISMATCH,HIGH,HUMAN_REVIEW,Gateway amount differs from the expected transaction amount.
FF-0044,EXCEPTION,GATEWAY_AMOUNT_MISMATCH,HIGH,HUMAN_REVIEW,Gateway amount differs from the expected transaction amount.
FF-0045,EXCEPTION,GATEWAY_AMOUNT_MISMATCH,HIGH,HUMAN_REVIEW,Gateway amount differs from the expected transaction amount.
FF-0046,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,HIGH,HUMAN_REVIEW,Settlement amount differs from the expected amount.
FF-0047,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,HIGH,HUMAN_REVIEW,Settlement amount differs from the expected amount.
FF-0048,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,HIGH,HUMAN_REVIEW,Settlement amount differs from the expected amount.
FF-0049,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,HIGH,HUMAN_REVIEW,Settlement amount differs from the expected amount.
FF-0050,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,HIGH,HUMAN_REVIEW,Settlement amount differs from the expected amount.
FF-0051,EXCEPTION,BANK_AMOUNT_MISMATCH,CRITICAL,HUMAN_REVIEW,Bank-posted amount does not match the expected settlement amount.
FF-0052,EXCEPTION,BANK_AMOUNT_MISMATCH,CRITICAL,HUMAN_REVIEW,Bank-posted amount does not match the expected settlement amount.
FF-0053,EXCEPTION,BANK_AMOUNT_MISMATCH,CRITICAL,HUMAN_REVIEW,Bank-posted amount does not match the expected settlement amount.
FF-0054,EXCEPTION,BANK_AMOUNT_MISMATCH,CRITICAL,HUMAN_REVIEW,Bank-posted amount does not match the expected settlement amount.
FF-0055,EXCEPTION,BANK_AMOUNT_MISMATCH,CRITICAL,HUMAN_REVIEW,Bank-posted amount does not match the expected settlement amount.
FF-0056,EXCEPTION,MISSING_GATEWAY_RECORD,HIGH,HUMAN_REVIEW,Expected gateway transaction record is missing.
FF-0057,EXCEPTION,MISSING_GATEWAY_RECORD,HIGH,HUMAN_REVIEW,Expected gateway transaction record is missing.
FF-0058,EXCEPTION,MISSING_GATEWAY_RECORD,HIGH,HUMAN_REVIEW,Expected gateway transaction record is missing.
