case_id,expected_reconciliation_status,exception_code,expected_action,expected_difference
FF-0001,PASS,NONE,NO_ACTION,0
FF-0002,PASS,NONE,NO_ACTION,0
FF-0003,PASS,NONE,NO_ACTION,0
FF-0004,PASS,NONE,NO_ACTION,0
FF-0005,PASS,NONE,NO_ACTION,0
FF-0006,PASS,NONE,NO_ACTION,0
FF-0007,PASS,NONE,NO_ACTION,0
FF-0008,PASS,NONE,NO_ACTION,0
FF-0009,PASS,NONE,NO_ACTION,0
FF-0010,PASS,NONE,NO_ACTION,0
FF-0011,PASS,NONE,NO_ACTION,0
FF-0012,PASS,NONE,NO_ACTION,0
FF-0013,PASS,NONE,NO_ACTION,0
FF-0014,PASS,NONE,NO_ACTION,0
FF-0015,PASS,NONE,NO_ACTION,0
FF-0016,PASS,NONE,NO_ACTION,0
FF-0017,PASS,NONE,NO_ACTION,0
FF-0018,PASS,NONE,NO_ACTION,0
FF-0019,PASS,NONE,NO_ACTION,0
FF-0020,PASS,NONE,NO_ACTION,0
FF-0021,PASS,NONE,NO_ACTION,0
FF-0022,PASS,NONE,NO_ACTION,0
FF-0023,PASS,NONE,NO_ACTION,0
FF-0024,PASS,NONE,NO_ACTION,0
FF-0025,PASS,NONE,NO_ACTION,0
FF-0026,PASS,NONE,NO_ACTION,0
FF-0027,PASS,NONE,NO_ACTION,0
FF-0028,PASS,NONE,NO_ACTION,0
FF-0029,PASS,NONE,NO_ACTION,0
FF-0030,PASS,NONE,NO_ACTION,0
FF-0031,PASS,NONE,NO_ACTION,0
FF-0032,PASS,NONE,NO_ACTION,0
FF-0033,PASS,NONE,NO_ACTION,0
FF-0034,PASS,NONE,NO_ACTION,0
FF-0035,PASS,NONE,NO_ACTION,0
FF-0036,PASS,NONE,NO_ACTION,0
FF-0037,PASS,NONE,NO_ACTION,0
FF-0038,PASS,NONE,NO_ACTION,0
FF-0039,PASS,NONE,NO_ACTION,0
FF-0040,PASS,NONE,NO_ACTION,0
FF-0041,EXCEPTION,GATEWAY_AMOUNT_MISMATCH,HUMAN_REVIEW,500
FF-0042,EXCEPTION,GATEWAY_AMOUNT_MISMATCH,HUMAN_REVIEW,500
FF-0043,EXCEPTION,GATEWAY_AMOUNT_MISMATCH,HUMAN_REVIEW,500
FF-0044,EXCEPTION,GATEWAY_AMOUNT_MISMATCH,HUMAN_REVIEW,500
FF-0045,EXCEPTION,GATEWAY_AMOUNT_MISMATCH,HUMAN_REVIEW,500
FF-0046,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,HUMAN_REVIEW,500
FF-0047,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,HUMAN_REVIEW,500
FF-0048,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,HUMAN_REVIEW,500
FF-0049,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,HUMAN_REVIEW,500
FF-0050,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,HUMAN_REVIEW,500
FF-0051,EXCEPTION,BANK_AMOUNT_MISMATCH,HUMAN_REVIEW,1000
FF-0052,EXCEPTION,BANK_AMOUNT_MISMATCH,HUMAN_REVIEW,1000
FF-0053,EXCEPTION,BANK_AMOUNT_MISMATCH,HUMAN_REVIEW,1000
FF-0054,EXCEPTION,BANK_AMOUNT_MISMATCH,HUMAN_REVIEW,1000
FF-0055,EXCEPTION,BANK_AMOUNT_MISMATCH,HUMAN_REVIEW,1000
FF-0056,EXCEPTION,MISSING_GATEWAY_RECORD,HUMAN_REVIEW,0
FF-0057,EXCEPTION,MISSING_GATEWAY_RECORD,HUMAN_REVIEW,0
FF-0058,EXCEPTION,MISSING_GATEWAY_RECORD,HUMAN_REVIEW,0
FF-0059,EXCEPTION,MISSING_GATEWAY_RECORD,HUMAN_REVIEW,0
FF-0060,EXCEPTION,MISSING_SETTLEMENT_RECORD,HUMAN_REVIEW,0
FF-0061,EXCEPTION,MISSING_SETTLEMENT_RECORD,HUMAN_REVIEW,0
FF-0062,EXCEPTION,MISSING_SETTLEMENT_RECORD,HUMAN_REVIEW,0
FF-0063,EXCEPTION,MISSING_BANK_RECORD,HUMAN_REVIEW,0
FF-0064,EXCEPTION,MISSING_BANK_RECORD,HUMAN_REVIEW,0
FF-0065,EXCEPTION,MISSING_BANK_RECORD,HUMAN_REVIEW,0
FF-0066,EXCEPTION,INVALID_PROCESSOR_STATUS,HUMAN_REVIEW,0
FF-0067,EXCEPTION,INVALID_PROCESSOR_STATUS,HUMAN_REVIEW,0
FF-0068,EXCEPTION,DUPLICATE_BANK_REFERENCE,HUMAN_REVIEW,0
FF-0069,EXCEPTION,DUPLICATE_BANK_REFERENCE,HUMAN_REVIEW,0
FF-0070,EXCEPTION,DUPLICATE_BANK_REFERENCE,HUMAN_REVIEW,0
