case_id,scenario
FF-0001,MATCHED
FF-0002,MATCHED
FF-0003,MATCHED
FF-0004,MATCHED
FF-0005,MATCHED
FF-0006,MATCHED
FF-0007,MATCHED
FF-0008,MATCHED
FF-0009,MATCHED
FF-0010,MATCHED
FF-0011,MATCHED
FF-0012,MATCHED
FF-0013,MATCHED
FF-0014,MATCHED
FF-0015,MATCHED
FF-0016,MATCHED
FF-0017,MATCHED
FF-0018,MATCHED
FF-0019,MATCHED
FF-0020,MATCHED
FF-0021,MATCHED
FF-0022,MATCHED
FF-0023,MATCHED
FF-0024,MATCHED
FF-0025,MATCHED
FF-0026,MATCHED
FF-0027,MATCHED
FF-0028,MATCHED
FF-0029,MATCHED
FF-0030,MATCHED
FF-0031,MATCHED
FF-0032,MATCHED
FF-0033,MATCHED
FF-0034,MATCHED
FF-0035,MATCHED
FF-0036,MATCHED
FF-0037,MATCHED
FF-0038,MATCHED
FF-0039,MATCHED
FF-0040,MATCHED
FF-0041,GATEWAY_AMOUNT_MISMATCH
FF-0042,GATEWAY_AMOUNT_MISMATCH
FF-0043,GATEWAY_AMOUNT_MISMATCH
FF-0044,GATEWAY_AMOUNT_MISMATCH
FF-0045,GATEWAY_AMOUNT_MISMATCH
FF-0046,SETTLEMENT_AMOUNT_MISMATCH
FF-0047,SETTLEMENT_AMOUNT_MISMATCH
FF-0048,SETTLEMENT_AMOUNT_MISMATCH
FF-0049,SETTLEMENT_AMOUNT_MISMATCH
FF-0050,SETTLEMENT_AMOUNT_MISMATCH
FF-0051,BANK_AMOUNT_MISMATCH
FF-0052,BANK_AMOUNT_MISMATCH
FF-0053,BANK_AMOUNT_MISMATCH
FF-0054,BANK_AMOUNT_MISMATCH
FF-0055,BANK_AMOUNT_MISMATCH
FF-0056,MISSING_GATEWAY
FF-0057,MISSING_GATEWAY
FF-0058,MISSING_GATEWAY
FF-0059,MISSING_GATEWAY
FF-0060,MISSING_SETTLEMENT
FF-0061,MISSING_SETTLEMENT
FF-0062,MISSING_SETTLEMENT
FF-0063,MISSING_BANK
FF-0064,MISSING_BANK
FF-0065,MISSING_BANK
FF-0066,INVALID_STATUS
FF-0067,INVALID_STATUS
FF-0068,DUPLICATE_BANK_REFERENCE
FF-0069,DUPLICATE_BANK_REFERENCE
FF-0070,DUPLICATE_BANK_REFERENCE
