case_id,bank_reference,settlement_id,bank_amount,currency,bank_status,bank_posted_at
FF-0001,BANK-0001,SET-0001,15000,INR,CREDITED,2026-01-01T17:00:00
FF-0002,BANK-0002,SET-0002,75000,INR,CREDITED,2026-01-01T19:00:00
FF-0003,BANK-0003,SET-0003,45000,INR,CREDITED,2026-01-01T21:00:00
FF-0004,BANK-0004,SET-0004,15000,INR,CREDITED,2026-01-01T23:00:00
FF-0005,BANK-0005,SET-0005,25000,INR,CREDITED,2026-01-02T01:00:00
FF-0006,BANK-0006,SET-0006,50000,INR,CREDITED,2026-01-02T03:00:00
FF-0007,BANK-0007,SET-0007,75000,INR,CREDITED,2026-01-02T05:00:00
FF-0008,BANK-0008,SET-0008,75000,INR,CREDITED,2026-01-02T07:00:00
FF-0009,BANK-0009,SET-0009,50000,INR,CREDITED,2026-01-02T09:00:00
FF-0010,BANK-0010,SET-0010,100000,INR,CREDITED,2026-01-02T11:00:00
FF-0011,BANK-0011,SET-0011,50000,INR,CREDITED,2026-01-02T13:00:00
FF-0012,BANK-0012,SET-0012,25000,INR,CREDITED,2026-01-02T15:00:00
FF-0013,BANK-0013,SET-0013,100000,INR,CREDITED,2026-01-02T17:00:00
FF-0014,BANK-0014,SET-0014,45000,INR,CREDITED,2026-01-02T19:00:00
FF-0015,BANK-0015,SET-0015,50000,INR,CREDITED,2026-01-02T21:00:00
FF-0016,BANK-0016,SET-0016,45000,INR,CREDITED,2026-01-02T23:00:00
FF-0017,BANK-0017,SET-0017,15000,INR,CREDITED,2026-01-03T01:00:00
FF-0018,BANK-0018,SET-0018,125000,INR,CREDITED,2026-01-03T03:00:00
FF-0019,BANK-0019,SET-0019,100000,INR,CREDITED,2026-01-03T05:00:00
FF-0020,BANK-0020,SET-0020,30000,INR,CREDITED,2026-01-03T07:00:00
FF-0021,BANK-0021,SET-0021,25000,INR,CREDITED,2026-01-03T09:00:00
FF-0022,BANK-0022,SET-0022,75000,INR,CREDITED,2026-01-03T11:00:00
FF-0023,BANK-0023,SET-0023,15000,INR,CREDITED,2026-01-03T13:00:00
FF-0024,BANK-0024,SET-0024,45000,INR,CREDITED,2026-01-03T15:00:00
FF-0025,BANK-0025,SET-0025,75000,INR,CREDITED,2026-01-03T17:00:00
FF-0026,BANK-0026,SET-0026,100000,INR,CREDITED,2026-01-03T19:00:00
