case_id,fee_id,student_id,merchant_id,currency,fee_amount,created_at,fee_status
FF-0001,FEE-0001,STU-0001,MER-002,INR,15000,2026-01-01T11:00:00,PAID
FF-0002,FEE-0002,STU-0002,MER-003,INR,75000,2026-01-01T13:00:00,PAID
FF-0003,FEE-0003,STU-0003,MER-004,INR,45000,2026-01-01T15:00:00,PAID
FF-0004,FEE-0004,STU-0004,MER-005,INR,15000,2026-01-01T17:00:00,PAID
FF-0005,FEE-0005,STU-0005,MER-001,INR,25000,2026-01-01T19:00:00,PAID
FF-0006,FEE-0006,STU-0006,MER-002,INR,50000,2026-01-01T21:00:00,PAID
FF-0007,FEE-0007,STU-0007,MER-003,INR,75000,2026-01-01T23:00:00,PAID
FF-0008,FEE-0008,STU-0008,MER-004,INR,75000,2026-01-02T01:00:00,PAID
FF-0009,FEE-0009,STU-0009,MER-005,INR,50000,2026-01-02T03:00:00,PAID
FF-0010,FEE-0010,STU-0010,MER-001,INR,100000,2026-01-02T05:00:00,PAID
FF-0011,FEE-0011,STU-0011,MER-002,INR,50000,2026-01-02T07:00:00,PAID
FF-0012,FEE-0012,STU-0012,MER-003,INR,25000,2026-01-02T09:00:00,PAID
FF-0013,FEE-0013,STU-0013,MER-004,INR,100000,2026-01-02T11:00:00,PAID
FF-0014,FEE-0014,STU-0014,MER-005,INR,45000,2026-01-02T13:00:00,PAID
FF-0015,FEE-0015,STU-0015,MER-001,INR,50000,2026-01-02T15:00:00,PAID
FF-0016,FEE-0016,STU-0016,MER-002,INR,45000,2026-01-02T17:00:00,PAID
FF-0017,FEE-0017,STU-0017,MER-003,INR,15000,2026-01-02T19:00:00,PAID
FF-0018,FEE-0018,STU-0018,MER-004,INR,125000,2026-01-02T21:00:00,PAID
FF-0019,FEE-0019,STU-0019,MER-005,INR,100000,2026-01-02T23:00:00,PAID
FF-0020,FEE-0020,STU-0020,MER-001,INR,30000,2026-01-03T01:00:00,PAID
FF-0021,FEE-0021,STU-0021,MER-002,INR,25000,2026-01-03T03:00:00,PAID
FF-0022,FEE-0022,STU-0022,MER-003,INR,75000,2026-01-03T05:00:00,PAID
FF-0023,FEE-0023,STU-0023,MER-004,INR,15000,2026-01-03T07:00:00,PAID
FF-0024,FEE-0024,STU-0024,MER-005,INR,45000,2026-01-03T09:00:00,PAID
FF-0025,FEE-0025,STU-0025,MER-001,INR,75000,2026-01-03T11:00:00,PAID
FF-0026,FEE-0026,STU-0026,MER-002,INR,100000,2026-01-03T13:00:00,PAID
FF-0027,FEE-0027,STU-0027,MER-003,INR,30000,2026-01-03T15:00:00,PAID
FF-0028,FEE-0028,STU-0028,MER-004,INR,45000,2026-01-03T17:00:00,PAID
FF-0029,FEE-0029,STU-0029,MER-005,INR,50000,2026-01-03T19:00:00,PAID
