case_id,gateway_transaction_id,fee_id,payment_method,gateway_amount,currency,processor_status,processed_at
FF-0001,GW-0001,FEE-0001,NET_BANKING,15000,INR,CAPTURED,2026-01-01T11:05:00
FF-0002,GW-0002,FEE-0002,CARD,75000,INR,CAPTURED,2026-01-01T13:05:00
FF-0003,GW-0003,FEE-0003,NET_BANKING,45000,INR,CAPTURED,2026-01-01T15:05:00
FF-0004,GW-0004,FEE-0004,NET_BANKING,15000,INR,CAPTURED,2026-01-01T17:05:00
FF-0005,GW-0005,FEE-0005,UPI,25000,INR,CAPTURED,2026-01-01T19:05:00
FF-0006,GW-0006,FEE-0006,NET_BANKING,50000,INR,CAPTURED,2026-01-01T21:05:00
FF-0007,GW-0007,FEE-0007,NET_BANKING,75000,INR,CAPTURED,2026-01-01T23:05:00
FF-0008,GW-0008,FEE-0008,NET_BANKING,75000,INR,CAPTURED,2026-01-02T01:05:00
FF-0009,GW-0009,FEE-0009,UPI,50000,INR,CAPTURED,2026-01-02T03:05:00
FF-0010,GW-0010,FEE-0010,CARD,100000,INR,CAPTURED,2026-01-02T05:05:00
FF-0011,GW-0011,FEE-0011,CARD,50000,INR,CAPTURED,2026-01-02T07:05:00
FF-0012,GW-0012,FEE-0012,NET_BANKING,25000,INR,CAPTURED,2026-01-02T09:05:00
FF-0013,GW-0013,FEE-0013,CARD,100000,INR,CAPTURED,2026-01-02T11:05:00
FF-0014,GW-0014,FEE-0014,NET_BANKING,45000,INR,CAPTURED,2026-01-02T13:05:00
FF-0015,GW-0015,FEE-0015,CARD,50000,INR,CAPTURED,2026-01-02T15:05:00
FF-0016,GW-0016,FEE-0016,UPI,45000,INR,CAPTURED,2026-01-02T17:05:00
FF-0017,GW-0017,FEE-0017,CARD,15000,INR,CAPTURED,2026-01-02T19:05:00
FF-0018,GW-0018,FEE-0018,UPI,125000,INR,CAPTURED,2026-01-02T21:05:00
FF-0019,GW-0019,FEE-0019,NET_BANKING,100000,INR,CAPTURED,2026-01-02T23:05:00
FF-0020,GW-0020,FEE-0020,CARD,30000,INR,CAPTURED,2026-01-03T01:05:00
FF-0021,GW-0021,FEE-0021,NET_BANKING,25000,INR,CAPTURED,2026-01-03T03:05:00
FF-0022,GW-0022,FEE-0022,CARD,75000,INR,CAPTURED,2026-01-03T05:05:00
FF-0023,GW-0023,FEE-0023,NET_BANKING,15000,INR,CAPTURED,2026-01-03T07:05:00
FF-0024,GW-0024,FEE-0024,NET_BANKING,45000,INR,CAPTURED,2026-01-03T09:05:00
FF-0025,GW-0025,FEE-0025,NET_BANKING,75000,INR,CAPTURED,2026-01-03T11:05:00
FF-0026,GW-0026,FEE-0026,UPI,100000,INR,CAPTURED,2026-01-03T13:05:00
FF-0027,GW-0027,FEE-0027,CARD,30000,INR,CAPTURED,2026-01-03T15:05:00
FF-0028,GW-0028,FEE-0028,UPI,45000,INR,CAPTURED,2026-01-03T17:05:00
FF-0029,GW-0029,FEE-0029,UPI,50000,INR,CAPTURED,2026-01-03T19:05:00
FF-0030,GW-0030,FEE-0030,NET_BANKING,75000,INR,CAPTURED,2026-01-03T21:05:00
FF-0031,GW-0031,FEE-0031,NET_BANKING,125000,INR,CAPTURED,2026-01-03T23:05:00
FF-0032,GW-0032,FEE-0032,NET_BANKING,30000,INR,CAPTURED,2026-01-04T01:05:00
FF-0033,GW-0033,FEE-0033,UPI,45000,INR,CAPTURED,2026-01-04T03:05:00
FF-0034,GW-0034,FEE-0034,CARD,125000,INR,CAPTURED,2026-01-04T05:05:00
FF-0035,GW-0035,FEE-0035,CARD,15000,INR,CAPTURED,2026-01-04T07:05:00
FF-0036,GW-0036,FEE-0036,UPI,100000,INR,CAPTURED,2026-01-04T09:05:00
FF-0037,GW-0037,FEE-0037,UPI,45000,INR,CAPTURED,2026-01-04T11:05:00
FF-0038,GW-0038,FEE-0038,CARD,75000,INR,CAPTURED,2026-01-04T13:05:00
FF-0039,GW-0039,FEE-0039,UPI,30000,INR,CAPTURED,2026-01-04T15:05:00
FF-0040,GW-0040,FEE-0040,NET_BANKING,50000,INR,CAPTURED,2026-01-04T17:05:00
FF-0041,GW-0041,FEE-0041,CARD,124500,INR,CAPTURED,2026-01-04T19:05:00
FF-0042,GW-0042,FEE-0042,NET_BANKING,24500,INR,CAPTURED,2026-01-04T21:05:00
