case_id,settlement_id,gateway_transaction_id,settlement_amount,currency,settlement_status,settlement_date
FF-0001,SET-0001,GW-0001,15000,INR,SETTLED,2026-01-01T15:00:00
FF-0002,SET-0002,GW-0002,75000,INR,SETTLED,2026-01-01T17:00:00
FF-0003,SET-0003,GW-0003,45000,INR,SETTLED,2026-01-01T19:00:00
FF-0004,SET-0004,GW-0004,15000,INR,SETTLED,2026-01-01T21:00:00
FF-0005,SET-0005,GW-0005,25000,INR,SETTLED,2026-01-01T23:00:00
FF-0006,SET-0006,GW-0006,50000,INR,SETTLED,2026-01-02T01:00:00
FF-0007,SET-0007,GW-0007,75000,INR,SETTLED,2026-01-02T03:00:00
FF-0008,SET-0008,GW-0008,75000,INR,SETTLED,2026-01-02T05:00:00
FF-0009,SET-0009,GW-0009,50000,INR,SETTLED,2026-01-02T07:00:00
FF-0010,SET-0010,GW-0010,100000,INR,SETTLED,2026-01-02T09:00:00
FF-0011,SET-0011,GW-0011,50000,INR,SETTLED,2026-01-02T11:00:00
FF-0012,SET-0012,GW-0012,25000,INR,SETTLED,2026-01-02T13:00:00
FF-0013,SET-0013,GW-0013,100000,INR,SETTLED,2026-01-02T15:00:00
FF-0014,SET-0014,GW-0014,45000,INR,SETTLED,2026-01-02T17:00:00
FF-0015,SET-0015,GW-0015,50000,INR,SETTLED,2026-01-02T19:00:00
FF-0016,SET-0016,GW-0016,45000,INR,SETTLED,2026-01-02T21:00:00
FF-0017,SET-0017,GW-0017,15000,INR,SETTLED,2026-01-02T23:00:00
FF-0018,SET-0018,GW-0018,125000,INR,SETTLED,2026-01-03T01:00:00
FF-0019,SET-0019,GW-0019,100000,INR,SETTLED,2026-01-03T03:00:00
FF-0020,SET-0020,GW-0020,30000,INR,SETTLED,2026-01-03T05:00:00
FF-0021,SET-0021,GW-0021,25000,INR,SETTLED,2026-01-03T07:00:00
FF-0022,SET-0022,GW-0022,75000,INR,SETTLED,2026-01-03T09:00:00
FF-0023,SET-0023,GW-0023,15000,INR,SETTLED,2026-01-03T11:00:00
FF-0024,SET-0024,GW-0024,45000,INR,SETTLED,2026-01-03T13:00:00
FF-0025,SET-0025,GW-0025,75000,INR,SETTLED,2026-01-03T15:00:00
FF-0026,SET-0026,GW-0026,100000,INR,SETTLED,2026-01-03T17:00:00
FF-0027,SET-0027,GW-0027,30000,INR,SETTLED,2026-01-03T19:00:00
FF-0028,SET-0028,GW-0028,45000,INR,SETTLED,2026-01-03T21:00:00
FF-0029,SET-0029,GW-0029,50000,INR,SETTLED,2026-01-03T23:00:00
FF-0030,SET-0030,GW-0030,75000,INR,SETTLED,2026-01-04T01:00:00
FF-0031,SET-0031,GW-0031,125000,INR,SETTLED,2026-01-04T03:00:00
FF-0032,SET-0032,GW-0032,30000,INR,SETTLED,2026-01-04T05:00:00
FF-0033,SET-0033,GW-0033,45000,INR,SETTLED,2026-01-04T07:00:00
FF-0034,SET-0034,GW-0034,125000,INR,SETTLED,2026-01-04T09:00:00
FF-0035,SET-0035,GW-0035,15000,INR,SETTLED,2026-01-04T11:00:00
FF-0036,SET-0036,GW-0036,100000,INR,SETTLED,2026-01-04T13:00:00
FF-0037,SET-0037,GW-0037,45000,INR,SETTLED,2026-01-04T15:00:00
FF-0038,SET-0038,GW-0038,75000,INR,SETTLED,2026-01-04T17:00:00
FF-0039,SET-0039,GW-0039,30000,INR,SETTLED,2026-01-04T19:00:00
FF-0040,SET-0040,GW-0040,50000,INR,SETTLED,2026-01-04T21:00:00
FF-0041,SET-0041,GW-0041,125000,INR,SETTLED,2026-01-04T23:00:00
FF-0042,SET-0042,GW-0042,25000,INR,SETTLED,2026-01-05T01:00:00
FF-0043,SET-0043,GW-0043,75000,INR,SETTLED,2026-01-05T03:00:00
FF-0044,SET-0044,GW-0044,15000,INR,SETTLED,2026-01-05T05:00:00
FF-0045,SET-0045,GW-0045,100000,INR,SETTLED,2026-01-05T07:00:00
FF-0046,SET-0046,GW-0046,44500,INR,SETTLED,2026-01-05T09:00:00
FF-0047,SET-0047,GW-0047,99500,INR,SETTLED,2026-01-05T11:00:00
FF-0048,SET-0048,GW-0048,124500,INR,SETTLED,2026-01-05T13:00:00
FF-0049,SET-0049,GW-0049,24500,INR,SETTLED,2026-01-05T15:00:00
FF-0050,SET-0050,GW-0050,74500,INR,SETTLED,2026-01-05T17:00:00
FF-0051,SET-0051,GW-0051,100000,INR,SETTLED,2026-01-05T19:00:00
FF-0052,SET-0052,GW-0052,100000,INR,SETTLED,2026-01-05T21:00:00
FF-0053,SET-0053,GW-0053,100000,INR,SETTLED,2026-01-05T23:00:00
FF-0054,SET-0054,GW-0054,100000,INR,SETTLED,2026-01-06T01:00:00
FF-0055,SET-0055,GW-0055,45000,INR,SETTLED,2026-01-06T03:00:00
FF-0056,SET-0056,GW-0056,30000,INR,SETTLED,2026-01-06T05:00:00
FF-0057,SET-0057,GW-0057,50000,INR,SETTLED,2026-01-06T07:00:00
FF-0058,SET-0058,GW-0058,50000,INR,SETTLED,2026-01-06T09:00:00
FF-0059,SET-0059,GW-0059,15000,INR,SETTLED,2026-01-06T11:00:00
FF-0063,SET-0063,GW-0063,100000,INR,SETTLED,2026-01-06T19:00:00
FF-0064,SET-0064,GW-0064,15000,INR,SETTLED,2026-01-06T21:00:00
FF-0065,SET-0065,GW-0065,50000,INR,SETTLED,2026-01-06T23:00:00
FF-0066,SET-0066,GW-0066,50000,INR,SETTLED,2026-01-07T01:00:00
FF-0067,SET-0067,GW-0067,15000,INR,SETTLED,2026-01-07T03:00:00
FF-0068,SET-0068,GW-0068,100000,INR,SETTLED,2026-01-07T05:00:00
FF-0069,SET-0069,GW-0069,50000,INR,SETTLED,2026-01-07T07:00:00
FF-0070,SET-0070,GW-0070,30000,INR,SETTLED,2026-01-07T09:00:00
